Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gini index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Albania,ALB,..,..,..,31.7,..,..,..,29,..,34.6,32.9,33.7,33.2,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Angola,AGO,..,52,..,..,..,..,..,..,..,..,..,..,..,51.3,..,..
Gini index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Argentina,ARG,..,51.1,53.3,53.8,51.2,48.6,42.7,41.4,41,41.7,..,42,41.2,41.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Armenia,ARM,..,..,35.4,34.8,33,37.5,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Australia,AUS,..,..,33.5,..,33.5,33.1,..,..,..,34.4,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Austria,AUT,..,28.8,..,..,29.5,29.8,30.8,30.5,30.8,30.5,30.5,30.8,29.7,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..,..,36.5,25.3,26.8,26.6,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,..,33.4,..,..,..,..,..,..,..,..,..,32.4,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belarus,BLR,..,31.2,30.6,30.3,28.8,26.5,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belgium,BEL,..,33.1,..,..,28.1,30.5,28.1,27.5,27.7,28.1,27.7,27.6,27.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Benin,BEN,..,..,..,..,38.6,..,43.4,..,..,..,47.8,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..,..,..,..,40.9,..,..,38.8,..,..,..,..,37.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,..,61.6,57.4,59.3,..,55,46.1,46.6,47.6,47.8,46.7,44.6,44,42.2,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..,30,..,..,34,33,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..,..,..,64.7,..,..,..,..,..,..,53.3,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Brazil,BRA,60.5,..,58.4,58.1,57.6,56.5,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9,..,..
Gini index (World Bank estimate),SI.POV.GINI,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,..,..,..,..,..,..,34.3,36,36.6,37.4,38.6,40.6,40.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..,..,..,..,43.3,..,..,..,..,35.3,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..,..,..,..,..,..,..,..,38.6,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..,..,52.5,..,..,..,..,..,..,..,42.4,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..,..,42.1,..,..,..,..,..,..,46.6,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Canada,CAN,..,33.3,..,..,..,33.7,..,..,33.8,..,..,..,33.3,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..,..,..,..,43.6,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Chad,TCD,..,..,..,..,39.8,..,43.3,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Chile,CHL,57.2,52.8,..,..,51.5,..,46,..,45.8,..,44.4,..,44.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,China,CHN,32.2,..,..,42,..,..,42.4,42.2,39.7,39.2,38.6,38.5,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Colombia,COL,..,58.7,57.2,55.8,53.4,54.8,53.5,52.7,52.8,52.7,51.1,50.8,49.7,50.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Comoros,COM,..,..,..,..,..,55.9,..,..,..,45.3,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",COD,..,..,..,..,..,42.2,..,42.1,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,..,..,..,..,..,..,48.9,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,45.3,47.4,51.6,51.9,49.3,48.3,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..,..,..,41.3,..,..,..,..,..,..,41.5,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Croatia,HRV,..,..,..,..,..,..,32.3,32.5,32,32.1,31.1,30.9,30.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,..,..,..,..,..,30.1,32.6,34.3,37,35.6,34,32.9,31.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,..,..,..,26.6,..,27.5,26.4,26.1,26.5,25.9,25.9,25.4,24.9,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Denmark,DNK,..,23.8,..,..,25.6,24.9,27.3,27.8,28.5,28.4,28.2,28.2,28.7,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,..,..,..,40,..,..,..,45.1,44.1,..,..,..,41.6,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,..,51.5,50,49.7,52.1,52.1,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,..,..
Gini index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,..,56.4,..,..,53.4,53.9,45.9,46.1,46.9,45,46,45,44.7,45.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Egypt, Arab Rep.",EGY,32,..,..,..,..,31.8,..,28.3,..,..,31.8,..,31.5,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,..,51.5,51.4,51.9,50.4,47.8,42.3,41.8,43.4,41.6,40.6,40,38,38.6,..,..
Gini index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Estonia,EST,..,..,..,..,37.2,33.6,32.5,32.9,35.1,34.6,32.7,31.2,30.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Eswatini,SWZ,..,53.1,..,..,..,..,..,..,..,..,..,54.6,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,..,..,..,..,..,29.8,..,..,..,..,35,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Fiji,FJI,..,..,..,38.1,..,..,..,..,36.7,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Finland,FIN,..,27.2,..,..,27.7,27.9,27.6,27.1,27.2,26.8,27.1,27.1,27.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,France,FRA,..,31.1,..,..,31.4,30.6,33.3,33.1,32.5,32.3,32.7,31.9,31.6,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Gambia, The",GMB,..,..,..,..,47.3,..,..,..,..,..,35.9,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Georgia,GEO,..,40.5,39.6,37.2,36.7,36.2,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,Germany,DEU,..,28.8,30.3,29.9,30,30.4,30.5,..,31.1,..,31.7,31.9,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Ghana,GHA,..,..,..,..,..,..,..,42.4,..,..,..,43.5,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Greece,GRC,..,34.2,..,..,32.8,33.6,34.8,36.3,36.1,35.8,36,35,34.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,..,54.2,..,..,..,..,..,..,..,48.3,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Guinea,GIN,..,..,..,43,..,..,..,33.7,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,..,..,..,35.6,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Haiti,HTI,..,..,..,..,..,..,..,41.1,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Honduras,HND,57.4,..,55.6,55.7,58.1,58.1,56.2,56.1,52.6,50.4,49.6,51.1,50.5,52.1,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Hungary,HUN,..,..,..,..,..,29.9,29.2,30.8,31.5,30.9,30.4,30.3,30.6,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Iceland,ISL,..,..,..,..,26.8,28,26.8,26.8,25.4,27.8,26.8,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,India,IND,..,..,..,..,..,34.4,35.7,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,31.2,28.6,29,31.7,31.9,32.7,39.7,39.7,40,39.4,39.7,38.6,38.1,37.8,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Iran, Islamic Rep.",IRN,43.6,..,..,..,..,..,..,..,37.4,38.8,39.5,40,40.8,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,..,..,..,..,..,..,..,29.5,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Ireland,IRL,..,33,..,..,32.9,33.6,32.9,33.2,33.5,31.9,31.8,32.8,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Israel,ISR,..,..,38.9,..,..,..,..,41.3,..,39.8,..,39,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Italy,ITA,..,35.3,..,..,34.9,34.3,35.1,35.2,34.9,34.7,35.4,35.2,35.9,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Jamaica,JAM,41.1,..,..,48.3,..,45.5,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Japan,JPN,..,..,..,..,..,..,..,..,32.9,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Jordan,JOR,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kazakhstan,KAZ,..,..,36,34.8,33.7,31.8,28,28.2,27.1,27,26.8,27.2,27.5,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,40.8,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Korea, Rep.",KOR,..,..,..,..,..,..,..,31.6,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kosovo,XKX,..,..,..,..,29,..,27.8,29,26.3,27.3,26.5,26.7,29,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Kyrgyz Republic,KGZ,..,31,30.2,30.3,28.7,34.8,27.8,27.4,28.8,26.8,29,26.8,27.3,27.7,..,..
Gini index (World Bank estimate),SI.POV.GINI,Lao PDR,LAO,..,..,..,32.6,..,..,..,36.4,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Latvia,LVA,..,..,..,..,..,36.4,35.8,35.2,35.5,35.1,34.2,34.3,35.6,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Lebanon,LBN,..,..,..,..,..,..,31.8,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Lesotho,LSO,..,..,..,51.6,..,..,..,..,..,..,..,..,44.9,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Liberia,LBR,..,..,..,..,..,..,..,..,..,33.2,..,35.3,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Lithuania,LTU,..,..,..,..,..,37,32.5,35.1,35.3,37.7,37.4,38.4,37.3,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Luxembourg,LUX,..,30.4,..,..,30.2,30.2,32.1,34.3,32,31.2,33.8,33,34.9,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Madagascar,MDG,..,..,47.4,..,..,..,..,42.6,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Malawi,MWI,..,..,..,..,..,39.9,..,..,..,..,..,44.7,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Malaysia,MYS,..,..,..,..,..,46.1,43.9,..,41.3,..,41,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Maldives,MDV,..,..,..,41.3,..,..,..,..,..,..,..,31.3,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Mali,MLI,..,..,39.9,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Malta,MLT,..,..,..,..,..,..,29.1,29.4,28.8,29,29.4,29.1,29.2,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Mauritania,MRT,..,39,..,..,..,40.2,..,..,..,32.6,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Mauritius,MUS,..,..,..,..,..,..,..,38.5,..,..,..,..,36.8,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Mexico,MEX,..,52.6,..,50.1,..,50,..,48.7,..,48.7,..,46.3,..,45.4,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,40.1,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Moldova,MDA,..,36.4,38,35.8,34.9,35,30.6,29.2,28.5,26.8,27,26.3,25.9,25.7,..,..
Gini index (World Bank estimate),SI.POV.GINI,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Mongolia,MNG,..,..,..,32.9,..,..,33.9,33.8,..,32,..,32.3,..,32.7,..,..
Gini index (World Bank estimate),SI.POV.GINI,Montenegro,MNE,..,..,..,..,..,..,..,41.2,39,38.8,39,..,..,..,..,..
